steps,return,score
0,-1.059451245,-21
40000,-0.92631912,-20.33333333
80000,-1.025642216,-20
120000,-0.53618048,-16.66666667
160000,-0.451203329,-16.33333333
200000,-0.2205516,-14
240000,-0.634598768,-17.66666667
280000,0.015415032,-13.66666667
320000,-0.315827783,-13.66666667
360000,-0.256178175,-11.66666667
400000,-0.287207467,-12
440000,-0.513213298,-14
480000,-0.512292898,-16
520000,-0.236252548,-15
560000,-0.117702176,-13.33333333
600000,-0.384558859,-14.66666667
640000,-0.574008479,-16.66666667
680000,-0.244215029,-14.33333333
720000,0.00083413,-11.66666667
760000,-0.382254807,-13.33333333
800000,-0.142762115,-13
840000,-0.352258508,-13.66666667
880000,-0.197233624,-10.66666667
920000,0.057955789,-12.66666667
960000,-0.184181947,-10.66666667
1000000,0.004779258,-10.33333333
