epochs,training_loss
0,1766.1205773560298
1,5581.580166714179
2,19179.50795314546
3,64457.99161061195
4,178915.4122164864
5,349322.85692851327
6,715162.4710756864
7,1670302.6648618134
8,3658079.1248374274
9,6885606.28623555
10,11671539.118858382
11,20740528.496748555
12,35650834.17673409
13,55041675.215751454
14,82900953.62731212
15,124225908.25924858
16,182307845.47630057
17,258251728.58843932
18,354202912.5121387
19,479456259.90404636
20,637121039.1445086
21,831321929.1398845
22,1066399506.2150291
23,1346814750.0670521
24,1676197025.683237
25,2058221855.2601159
26,2496465058.10867
27,2994557157.5121374
28,3555701792.2774568
29,4183218440.101734
30,4880424281.655493
31,5650336959.778034
32,6495955822.575724
33,7420107014.436995
34,8426023457.9606905
35,9516702194.793064
36,10695709780.86474
37,11966517917.595377
38,13332810665.65549
39,14798585433.378033
40,16367777050.191904
41,18044253222.91792
42,19831842542.24277
43,21734968302.094795
44,23757986549.345665
45,25905589588.93873
46,28182048259.69942
47,30591923485.891327
48,33139789894.43699
49,35829987066.37688
50,38667572475.85665
51,41657103014.62197
52,44803740581.7341
53,48112583802.82081
54,51588201930.13642
55,55236676471.56532
56,59062105028.809265
57,63069692429.61387
58,67264615320.71214
59,71653403451.48671
60,76240490824.50868
61,81031761608.06473
62,86033006863.09366
63,91249888638.37224
64,96687477507.25552
65,102352548260.84622
66,108250026118.95493
67,114385405625.26704
68,120764904302.98267
69,127395656051.71793
70,134282686214.21504
71,141430331235.7364
72,148845426587.3757
73,156534763025.16534
74,164505288632.9711
75,172761418089.0636
76,181309994773.60464
77,190157758057.95145
78,199309903938.29364
79,208772790372.62427
80,218554906922.32138
81,228661624285.07745
82,239099303754.8763
83,249873968534.04858
84,260992402549.19775
85,272462057303.89825
86,284289257431.75037
87,296479098022.9179
88,309040699427.51447
89,321979150965.7897
90,335303650755.03345
91,349019291960.5272
92,363133081256.6936
93,377652442177.10974
94,392585543862.3075
95,407937817283.9214
96,423718004065.9607
97,439932026264.4164
98,456588544975.4635
99,473692842374.6589
100,491252239744.73987
101,509276104592.7214
102,527771889545.6185
103,546744959880.4346
104,566206913073.1283
105,586161738035.792
106,606619258226.5342
107,627589331140.5132
108,649076269150.7053
109,671087408964.9573
110,693631498659.0706
111,716720990347.6902
112,740364923869.6693
113,764566758938.6356
114,789333785449.6555
115,814677469593.6
116,840604121024.0739
117,867121333833.9885
118,894236872164.18
119,921959155719.1028
120,950297935185.3873
121,979263126472.3606
122,1008860356352.2959
123,1039104186654.4832
124,1069997595317.7155
125,1101550271830.1223
126,1133769890362.5986
127,1166670027758.243
128,1200256783448.786
129,1234538004195.8845
130,1269524422409.766
131,1305225757770.5798
132,1341650089276.0784
133,1378808795604.7905
134,1416711590811.3757
135,1455366313465.4888
136,1494779970776.6382
137,1534963359677.7065
138,1575928590482.793
139,1617685399019.2834
140,1660236137963.283
141,1703593831221.5676
142,1747774700583.0662
143,1792781890809.7844
144,1838622957539.5884
145,1885316731841.2578
146,1932864883954.6821
147,1981280786557.484
148,2030568767677.4106
149,2080741419962.155
150,2131808896548.1067
151,2183784311794.978
152,2236677599217.794
153,2290492791515.5977
154,2345248162038.2334
155,2400954965930.7646
156,2457618968107.2095
157,2515251550503.954
158,2573860957966.501
159,2633460157663.741
160,2694061524383.519
161,2755676852143.5005
162,2818308043078.733
163,2881976625973.5674
164,2946695340628.643
165,3012471203089.462
166,3079313164778.099
167,3147230474074.2656
168,3216236567373.2446
169,3286343192154.5615
170,3357558510813.373
171,3429894936341.6045
172,3503360765028.624
173,3577967808393.6187
174,3653732916083.126
175,3730665784375.639
176,3808778025454.8345
177,3888077588572.3384
178,3968573654450.461
179,4050292762365.928
180,4133228499867.376
181,4217409039252.2734
182,4302834437987.737
183,4389522180548.2188
184,4477469513853.485
185,4566702238896.389
186,4657236119319.973
187,4749076398989.17
188,4842236280074.358
189,4936714918487.009
190,5032535061545.433
191,5129716515516.818
192,5228262016017.758
193,5328191565658.266
194,5429504532337.942
195,5532227449689.083
196,5636377862153.471
197,5741964802220.838
198,5848999164133.66
199,5957480306510.428
200,6067426712662.418
