epochs,training_loss
0,27.821937621811223
1,26.98085241083465
2,26.17331450357603
3,25.398422137161212
4,24.654714286258457
5,23.940968064903522
6,23.256075309191136
7,22.598991291922633
8,21.96869907324025
9,21.36421887819478
10,20.784622881316036
11,20.229036957749052
12,19.69653071916172
13,19.18627615291948
14,18.697417994041665
15,18.229117842113354
16,17.780616361178414
17,17.35114004973731
18,16.940011551304366
19,16.54661618960386
20,16.170313792249367
21,15.810458920284503
22,15.466437172510723
23,15.137676502238808
24,14.823596415974498
25,14.523700192277829
26,14.237508582569273
27,13.964502711189278
28,13.704162566251838
29,13.45596934281333
30,13.219454673742282
31,12.994131801169729
32,12.779586033548922
33,12.57533855300418
34,12.380970580729443
35,12.196100557177743
36,12.020362514326337
37,11.853419794805479
38,11.694902701339972
39,11.544496214527616
40,11.401894553875653
41,11.266762400672613
42,11.138858630116275
43,11.017933828060686
44,10.903747388978912
45,10.796029385424767
46,10.694576629479497
47,10.599135121194957
48,10.509463803108371
49,10.425391083258083
50,10.346699248822784
51,10.273182964230205
52,10.204642988861982
53,10.140888019061158
54,10.081742708169653
55,10.027026698286136
56,9.976601833036176
57,9.930340019040713
58,9.888103123870543
59,9.849726197554196
60,9.815076548713824
61,9.784043436760156
62,9.756538459064299
63,9.732464240603367
64,9.711690415364469
65,9.694129985338346
66,9.679681062250468
67,9.668260654229993
68,9.659741220472519
69,9.654009163267695
70,9.651016113833887
71,9.650658145266977
72,9.652861994272365
73,9.657541766185634
74,9.664612671685532
75,9.673993955690396
76,9.685602771533881
77,9.69937186290677
78,9.715241803000602
79,9.733124828355846
80,9.7529327629274
81,9.77462004287911
82,9.798127785182931
83,9.823409239176897
84,9.850395037246752
85,9.879020487426677
86,9.909245528965501
87,9.941020226969542
88,9.974282006902158
89,10.008965326837034
90,10.045023925985735
91,10.08239807060171
92,10.121029667379707
93,10.160863776578205
94,10.201857433377665
95,10.243944770679136
96,10.287078580225828
97,10.331195415625336
98,10.376243546282108
99,10.42217586382018
100,10.468968231187905
101,10.516584660474617
102,10.564995561075003
103,10.614173642222937
104,10.664047216305324
105,10.714617999393296
106,10.765827868021807
107,10.817631474834991
108,10.869995367440874
109,10.922899213312679
110,10.97632613994741
111,11.030257499769245
112,11.084658712975555
113,11.139494902472617
114,11.194743755141092
115,11.250377767713948
116,11.306383984273221
117,11.36272617311922
118,11.419392032111656
119,11.476357452773808
120,11.533622925603664
121,11.5911621814949
122,11.648950526148424
123,11.706981016217457
124,11.765237518305208
125,11.823710730607283
126,11.882364891607292
127,11.94119070032773
128,12.000171337371444
129,12.059276734167614
130,12.118478817419511
131,12.177795163188883
132,12.237215743472294
133,12.296702894335885
134,12.356259929974472
135,12.415856169009137
136,12.475507524420072
137,12.53519627491518
138,12.594901982526903
139,12.654620008467768
140,12.714353091696093
141,12.774115040592552
142,12.833857531393367
143,12.893591986613814
144,12.953338882899871
145,13.013065547082636
146,13.072760580247536
147,13.132422255991688
148,13.192030447566442
149,13.251575193007216
150,13.311045959901943
151,13.37043154726311
152,13.429721850380734
153,13.4888922597287
154,13.54795203626673
155,13.606889667900315
156,13.665674060341937
157,13.724317976306972
158,13.782776670950344
159,13.841052870676355
160,13.899117002046179
161,13.95692946787687
162,14.014503881042401
163,14.07181858152496
164,14.128830611705776
165,14.185520686226425
166,14.241889061076794
167,14.297902994331597
168,14.353573286886506
169,14.408884987398721
170,14.463814298593238
171,14.518328467390436
172,14.5723975724826
173,14.626023977788197
174,14.679193571252977
175,14.731880348076706
176,14.784073733396266
177,14.83578083354097
178,14.886958058385147
179,14.937593910968028
180,14.987687536626188
181,15.037198658675123
182,15.086113862262641
183,15.134406983059955
184,15.182082913092453
185,15.229146681614003
186,15.27557234920863
187,15.3213505393594
188,15.366473892365576
189,15.410903972947187
190,15.454621988672738
191,15.497623834728852
192,15.539922454763703
193,15.581496437074815
194,15.622337181564703
195,15.662432468609314
196,15.701782284039638
197,15.740366075579832
198,15.778195085389422
199,15.815276531289419
200,15.851587577396737
