epochs,training_loss
0,8.825950531067189
1,12.680794597206086
2,16.492435967353728
3,10.615211662116073
4,5.447191704947481
5,4.659662996585659
6,5.259301763307841
7,6.425980556941445
8,7.987660569124827
9,9.841015186888635
10,11.901827189274604
11,14.116668967980178
12,16.46608715470816
13,19.002097791605603
14,21.76354370806259
15,24.796699447025453
16,28.174135245890977
17,31.924510674669563
18,36.10906788158969
19,40.78314872532223
20,46.020131079723384
21,51.88134635307885
22,58.39772313509373
23,65.62853186282118
24,73.6537898355826
25,82.5561896230444
26,92.40307219069817
27,103.24171225817904
28,115.16016875250492
29,128.18229516531
30,142.36931397432537
31,157.81180509445983
32,174.50214694690152
33,192.47103823182212
34,211.73227010296955
35,232.30438014565175
36,254.22812369021375
37,277.54875766114696
38,302.3428833801622
39,328.71733208805153
40,356.7412319866909
41,386.4718549651218
42,417.99866396071604
43,451.3895464329362
44,486.7376818927037
45,524.1065421131996
46,563.5105244454622
47,605.0220340971312
48,648.6695451063918
49,694.5134691536081
50,742.5879814103849
51,792.980588923989
52,845.7590367929095
53,900.9709377310868
54,958.7417128546391
55,1019.1320053894397
56,1082.1878622418885
57,1147.9460880698498
58,1216.4839269031677
59,1287.9438223425361
60,1362.4568370841143
61,1440.0637559306415
62,1520.844141277688
63,1604.8892418481023
64,1692.3438858649636
65,1783.2375581068798
66,1877.5746294848493
67,1975.4088788512126
68,2076.6951700023146
69,2181.5315919379964
70,2290.054510356925
71,2402.400744064419
72,2518.6962440093816
73,2639.004459623657
74,2763.4014981484834
75,2892.032788544583
76,3024.9156478970035
77,3162.1629765681455
78,3303.8694640407675
79,3450.1619916089003
80,3601.163223354802
81,3756.7544150644644
82,3917.176234991702
83,4082.477187351823
84,4252.765901104702
85,4428.2880729542985
86,4609.065170799653
87,4795.213429780641
88,4986.765772895593
89,5183.741057820403
90,5386.323237318799
91,5594.577980279646
92,5808.564661350139
93,6028.43485192095
94,6254.336212052364
95,6486.313245475636
96,6724.435485769283
97,6968.834494530121
98,7219.571998481531
99,7476.714875220149
100,7740.322323202674
101,8010.489679837088
102,8287.443691152232
103,8571.220119022084
104,8861.818555887034
105,9159.405307024475
106,9464.203815508714
107,9776.21212249932
108,10095.51041280934
109,10422.247559299361
110,10756.627564605535
111,11098.834346634529
112,11448.927476968933
113,11807.008242921333
114,12173.10568988778
115,12547.574930003611
116,12930.533640320178
117,13321.926889620212
118,13721.979366730267
119,14130.847526841355
120,14548.628537639994
121,14975.545037030348
122,15411.61410257858
123,15856.98660274792
124,16311.863743000362
125,16776.176845872473
126,17250.16552071103
127,17733.9221994389
128,18227.510943709356
129,18731.192148127033
130,19245.195185208184
131,19769.511858178288
132,20304.286728628525
133,20849.710171491144
134,21405.94571243904
135,21973.135148347177
136,22551.03078316925
137,23139.931513897674
138,23740.02263338827
139,24351.32204914423
140,24973.84681234195
141,25607.910443009394
142,26253.67067151373
143,26911.14085135928
144,27580.285078915284
145,28261.276170746016
146,28954.562912639994
147,29660.314512396133
148,30378.84088071261
149,31110.11168488078
150,31854.235336321355
151,32611.11785246568
152,33380.92177339233
153,34163.857295429916
154,34959.962344201595
155,35769.351552621476
156,36592.1219989049
157,37428.589327808884
158,38278.866269644146
159,39143.099085813315
160,40021.59764467802
161,40914.642087021326
162,41822.603454095915
163,42745.36688832189
164,43683.098199850974
165,44635.88968908057
166,45604.137076070256
167,46587.69081015173
168,47586.788763886376
169,48601.35663441564
170,49631.55517973266
171,50677.80173466854
172,51740.1348830383
173,52818.92925510296
174,53914.05289017341
175,55025.63949941293
176,56153.99250925759
177,57299.33279274296
178,58461.82672281431
179,59641.69680387465
180,60838.81613529625
181,62053.83622313043
182,63286.78984149206
183,64537.608810513026
184,65806.75599654534
185,67094.28279782334
186,68400.12314057985
187,69724.6788667359
188,71068.02880181992
189,72430.2552864207
190,73811.73266121748
191,75212.66191914289
192,76632.7581641754
193,78072.43943788385
194,79532.18193641618
195,81012.1474428739
196,82512.26872459808
197,84032.71956850613
198,85573.87930026193
199,87135.93654037212
200,88718.87549336164
