episode,mean_len,std_len,mean_returns,std_returns
0,9.4,0.389871774,-0.909879769,0.00357295
20,9.34,0.283548938,-0.910426016,0.002594995
40,9.3,0.27202941,-0.910796959,0.002495279
60,9.32,0.457820926,-0.910619755,0.004187557
80,14.5,12.41136576,-0.870740796,0.092495564
100,16.64,10.90533814,-0.851452739,0.082276076
120,83.68,26.29877564,-0.463315737,0.113564517
140,192.56,8.72458595,-0.146978452,0.015950529
160,195.44,7.041477118,-0.141539095,0.011596526
180,196.24,11.28,-0.140163848,0.018552519
200,194.04,10.16889375,-0.14360765,0.016380265
220,199.06,2.82,-0.13559757,0.004853686
240,200,0,-0.133979675,2.78E-17
260,193.64,9.73521443,-0.143693798,0.014870934
280,194.94,12.12767084,-0.142291344,0.020252927
300,188.82,18.63726375,-0.152978074,0.032199355
320,178.56,42.98314088,-0.186847878,0.109795749
340,181.62,38.77539942,-0.177551361,0.098198265
360,192.92,21.24,-0.148028289,0.042145844
380,181.28,30.15827581,-0.17150439,0.066178471
400,172.4,41.28893314,-0.194556702,0.092286469
420,177.22,32.70173696,-0.182225541,0.070493306
440,182.4,33.1564775,-0.170660916,0.070372098
460,178,35.22260638,-0.179488976,0.076109349
480,186.38,27.31423805,-0.160398752,0.053106803
500,162.16,41.2375363,-0.214870221,0.091933373
520,156.4,31.91852127,-0.221545525,0.066053132
540,174.72,38.51484908,-0.187877045,0.082819002
560,190.62,22.93441955,-0.152120407,0.046371899
580,166.66,41.40077777,-0.205571619,0.092459163
600,179.84,40.35213006,-0.181044601,0.094319724
620,170.98,37.78681781,-0.194717509,0.080439222
640,180.1,34.52352821,-0.176242482,0.074611082
660,170.5,36.0752824,-0.196029739,0.079686451
680,169.44,41.21162943,-0.201210939,0.095066398
700,162.62,31.52135149,-0.206312733,0.066902121
720,165.32,37.29141456,-0.204405942,0.079781735
740,171.88,42.97238183,-0.197111605,0.096530168
760,158.24,36.23785866,-0.218674152,0.076386277
780,163.04,46.92485908,-0.219443763,0.116249199
800,190.88,27.36,-0.15413852,0.060476536
820,155.28,40.33700038,-0.229603659,0.089652153
840,143.3,40.34811024,-0.255812613,0.092186044
860,164.06,43.58651626,-0.2131524,0.100382954
880,147.24,47.38875816,-0.254464759,0.113977563
900,185.82,28.36595847,-0.163679661,0.059443761
920,192.84,21.48,-0.148187614,0.042623817
940,163.78,43.65816762,-0.214447672,0.102931637
960,176.08,41.0467246,-0.188426737,0.09783414
980,170.86,42.17516331,-0.199123017,0.096454966
1000,178.36,36.50608716,-0.180109358,0.08161338
1020,166.98,51.23596003,-0.217029068,0.132243822
1040,170.54,41.08654768,-0.198031733,0.094178214
1060,168.44,42.3874321,-0.203226289,0.096610762
1080,170.12,41.11069934,-0.198671326,0.092498165
1100,180.4,39.4060909,-0.179404305,0.091976749
1120,170.96,41.41495382,-0.198318294,0.098633993
1140,152.8,44.76596922,-0.238254722,0.10484813
1160,196.04,11.88,-0.143121958,0.027426848
1180,188.44,19.70721695,-0.154087011,0.035295588
1200,162,44.17420062,-0.219538226,0.109625021
1220,171.96,38.18845899,-0.192540961,0.082282138
1240,151.22,48.99415884,-0.246030336,0.113214508
1260,191.72,16.50774364,-0.148280952,0.029170373
1280,177.58,37.86897939,-0.18297817,0.087366138
1300,172.18,36.88267344,-0.192309886,0.083101176
1320,177.6,34.53276705,-0.181497814,0.080412829
1340,174.82,36.74620525,-0.186471774,0.081563477
1360,166.08,45.72922042,-0.213227748,0.119050006
1380,161.38,46.00734289,-0.221681906,0.111091554
1400,193.12,14.36194973,-0.145304713,0.024004817
1420,192.62,19.72986569,-0.147816609,0.037912591
1440,183.78,31.79364087,-0.167965839,0.071205032
1460,175.74,33.94666994,-0.182893258,0.0757325
1480,186.66,32.95864682,-0.164984895,0.081904553
1500,178.12,38.50373488,-0.183003929,0.090296878
1520,170.42,39.21585904,-0.197107118,0.088132733
1540,166.7,43.88778873,-0.209363443,0.108573631
1560,145.36,45.40377077,-0.256967119,0.111194261
1580,190.28,28.56504157,-0.15579174,0.064595033
1600,191.48,25.56,-0.152137639,0.054473893
1620,194.88,11.28404183,-0.14223814,0.018302195
1640,172.94,42.09456497,-0.194637393,0.096722889
1660,186.43,26.31,-0.16,0.06
1680,189.1,32.7,-0.160666364,0.080060066
1700,172.16,38.88092591,-0.193213885,0.088519619
1720,173.38,42.75132279,-0.195157107,0.103157832
1740,185.48,21.37291744,-0.161096773,0.040167175
1760,172.92,38.41959917,-0.190858129,0.082757939
1780,177.96,36.33189233,-0.180509234,0.079497485
1800,184.18,25.79464285,-0.163599162,0.053255338
1820,153.92,40.97249809,-0.23157173,0.091626378
1840,181.66,31.92817564,-0.17106899,0.068281041
1860,179.02,43.86346544,-0.189878301,0.126967747
1880,170.38,38.83848092,-0.196287201,0.088151379
1900,170.92,61.54336357,-0.234802151,0.235020529
1920,164.02,38.07901784,-0.207553224,0.080847298
1940,197.66,7.02,-0.137557387,0.010733137
1960,173.46,38.57388236,-0.193320299,0.100312178
1980,194.46,16.62,-0.143997183,0.030052524
2000,177.18,41.29081738,-0.18680085,0.098879648
