episode,mean_len,std_len,mean_returns,std_returns,,,
0,21.88,30.02854642,-0.843489251,0.144016648,,12.22,50.54
20,19.19,15.73953303,-0.839955137,0.107544102,,18.34,20.4
40,25.04,15.29537185,-0.788010386,0.112387646,,19.08,22.57
60,29.66,28.80382613,-0.779530954,0.162651383,,20.86,31.38
80,44.77,26.98488651,-0.666166916,0.160069937,,36.72,40.68
100,59.19,40.00233618,-0.614651658,0.159210639,,38.74,34.87
120,64.63,28.76821336,-0.570371257,0.137434437,,41.18,36.13
140,75.16,49.0194492,-0.55222022,0.191914583,,28.22,52.87
160,55.38,24.5093778,-0.624601794,0.115709413,,65.04,61.28
180,54.41,33.91499521,-0.627242579,0.141806504,,58.24,66.68
200,75.97,51.68065499,-0.544865867,0.197274652,,47.58,72.77
220,73.15,44.39786594,-0.545701041,0.186508399,,65.58,81.18
240,78.52,51.6693681,-0.533719801,0.203508384,,59.48,103.16
260,64.75,41.35614223,-0.581068668,0.204617195,,85.4,97.85
280,62.97,41.69695552,-0.592456992,0.190348448,,70.76,105.14
300,78.96,47.95932026,-0.519540085,0.220214016,,108.72,82.71
320,77.56,51.93975741,-0.535153723,0.219307759,,111.9,115.29
340,84.79,41.29439308,-0.483689077,0.154662658,,109.16,94.74
360,71.93,53.3422731,-0.560278492,0.223495188,,121.16,121.09
380,85.87,44.51186471,-0.49169606,0.20098749,,129,83.29
400,110.28,53.69714704,-0.412506462,0.214348795,,102.6,108.17
420,97.42,51.00991668,-0.450722278,0.204652723,,102.86,155.97
440,98.18,68.75588411,-0.477672231,0.274276957,,122.92,102.08
460,81.24,66.08171003,-0.54897628,0.280379271,,111.46,137.27
480,114.89,70.40591523,-0.422549438,0.280118627,,118.98,154.09
500,120.73,72.90451358,-0.401110047,0.288509734,,95.94,116.55
520,130.44,74.26070563,-0.372757308,0.292898373,,111.42,125.88
540,140.15,56.28008973,-0.309142717,0.218113598,,116.56,112.66
560,144.83,60.08935097,-0.301486225,0.226308515,,113.76,129.96
580,140.99,55.31306265,-0.299128773,0.169095963,,142.34,129.93
600,113.98,75.82676045,-0.426362889,0.29561221,,154.34,124.97
620,156.94,62.18345761,-0.270070325,0.236566495,,120.4,163.42
640,125.6,65.1788616,-0.362003937,0.261687603,,99.6,140.3
660,162.83,28.63162762,-0.220157367,0.074726033,,160.66,155.36
680,145.02,67.16147408,-0.312313282,0.259323649,,120.48,112.99
700,128.52,68.10247866,-0.366295001,0.264495806,,126,155.03
720,170.39,39.57998105,-0.209638525,0.111281948,,142.96,124.23
740,103.72,63.14007919,-0.440496323,0.259871097,,91.56,124.4
760,122.13,73.66756478,-0.392691244,0.279123477,,143,138.81
780,100.73,67.4784121,-0.458374844,0.259349014,,134.84,143.8
800,111.61,78.04842663,-0.435669271,0.294998316,,135.62,140.23
820,114.68,76.62679427,-0.435840651,0.305640442,,135.6,178.61
840,103.86,79.85267935,-0.479397005,0.327659442,,136.9,153.09
860,80.33,75.11742874,-0.575969061,0.310342344,,161.48,120.4
880,104.87,91.70515852,-0.510043607,0.371132995,,162.02,159.48
900,75.42,74.17878133,-0.606113311,0.320762708,,151.42,125.91
920,129.02,82.41628237,-0.396591024,0.326600358,,119.5,119.18
940,139.66,81.50692241,-0.356477594,0.320211908,,168.46,147.88
960,101.08,80.1610978,-0.492557498,0.315567855,,137.14,145.72
980,114.9,79.2341593,-0.434332358,0.309544306,,125.14,139.52
1000,136.49,70.38132494,-0.346134906,0.28928807,,144.08,121.29
1020,87.98,79.53987428,-0.541717463,0.322588166,,169.56,154.19
1040,119.93,76.1312426,-0.412370325,0.301270835,,115.88,162.21
1060,121.96,66.80043712,-0.368026442,0.242001685,,115.22,133.37
1080,161.24,43.55681807,-0.238623953,0.122805195,,161.54,150.4
1100,145.9,67.90718666,-0.309976454,0.249701929,,159.82,125
1120,155.59,38.23146479,-0.235483724,0.093696716,,136.94,99.16
1140,165.79,35.12219953,-0.21294439,0.091908008,,167.22,169.63
1160,148.66,57.32835599,-0.279662042,0.181250354,,129.94,138.35
1180,150.59,44.57114425,-0.265192638,0.129214045,,152.02,105.28
1200,154.03,57.56273187,-0.277977648,0.208388204,,158.7,127.98
1220,81.75,49.41971772,-0.497031197,0.17466665,,154.2,161.44
1240,160.37,34.962181,-0.220259393,0.087398432,,149.04,119
1260,101.26,77.47208788,-0.482953389,0.320480398,,137.32,134.15
1280,144.47,56.58696051,-0.29695633,0.201979099,,159.84,148.95
1300,136.63,60.70074217,-0.317213071,0.203159742,,132.8,113.1
1320,137.13,58.69359505,-0.32090197,0.18435698,,144.54,156.58
1340,152.81,57.54770977,-0.271975892,0.188946932,,126.7,136.18
1360,141.81,61.06238531,-0.307809952,0.20176043,,159.92,105.36
1380,156.47,55.44359386,-0.270561189,0.189712074,,156.4,127.69
1400,178.11,32.24516863,-0.188408739,0.083486252,,157.8,102.98
1420,164.94,52.02818851,-0.239532764,0.166230943,,99.78,100.31
1440,159.6,44.77894595,-0.230199153,0.119776636,,134.04,107.24
1460,150.45,68.92996808,-0.295474561,0.25873104,,110.04,98.93
1480,110.28,76.70148369,-0.442404251,0.308732342,,87.6,110.27
1500,142.17,67.25766945,-0.320911225,0.252730138,,102.3,144.1
1520,160.6,49.17788121,-0.246844897,0.142057399,,109.2,123.72
1540,144.49,68.90941082,-0.319408143,0.253939365,,135.24,115.44
1560,159.35,61.11487953,-0.264693805,0.225222577,,124.54,110.52
1580,131.76,67.55343367,-0.35422939,0.247598167,,110.9,134.98
1600,166.52,48.33791059,-0.221684784,0.15236103,,107.14,89.33
1620,157.53,61.54703973,-0.256775523,0.186836324,,117.04,115.96
1640,154.15,44.98947099,-0.244159906,0.117881033,,101.26,86.92
1660,143.12,82.4041965,-0.349043098,0.322712909,,136.46,147.56
1680,126.66,81.45957525,-0.396397273,0.302430255,,95.6,111.05
1700,138.35,63.92813543,-0.318218353,0.241049536,,127.66,94.99
1720,166.62,60.83547978,-0.247248764,0.235065421,,132.3,141.68
